file_name,contains_experiment,dataset,method,seed,contains_weights,usable_as_main_table_source,supplement_or_pilot_only,has_missing_marker,notes
ADI_DoRA_dialogue4a_handoff_package.tar.gz,ADI-DoRA handoff package.,mixed / narrative,DORA,not specified / mixed,No,No,No,No,No model weight files found in extracted archives.
ADI_LoRA_DoRA_converged_experiment_plan.pdf,Converged experiment plan for ADI-LoRA/ADI-DoRA.,mixed / narrative,DORA; LORA,not specified / mixed,No,No,No,No,No model weight files found in extracted archives.
ADI_LoRA_DoRA_narrative_style_guide.md,Narrative style guide for the paper.,mixed / narrative,DORA; LORA,not specified / mixed,No,No,No,No,No model weight files found in extracted archives.
ADI_LoRA_complete_experiment_tables_and_narrative_1.md,Complete experiment tables and narrative draft.,mixed / narrative,LORA,not specified / mixed,No,No,No,No,No model weight files found in extracted archives.
ADI_LoRA_core_mechanism_and_innovation.md,Core ADI-LoRA mechanism and innovation note.,mixed / narrative,LORA,not specified / mixed,No,No,No,No,No model weight files found in extracted archives.
ADI_VPT_Adapter_boundary_diagnostic_tables_and_analysis.md,VPT/Adapter boundary diagnostic tables and analysis.,mixed / narrative,Adapter; VPT,not specified / mixed,No,No,Diagnostic only,No,No model weight files found in extracted archives.
ADI_efficiency_filtered_tables_package.zip,Filtered efficiency tables package.,mixed / narrative,mixed / narrative,not specified / mixed,No,Yes,Supplement,No,No model weight files found in extracted archives.
ADI_final_table_sources_20260629_213223.tar.gz,Final table-source package; may contain MISSING markers but useful as index.,mixed / narrative,mixed / narrative,not specified / mixed,No,No,No,MISSING,No model weight files found in extracted archives.
MANIFEST.md,uploaded document/package,mixed / narrative,mixed / narrative,not specified / mixed,No,No,No,No,No model weight files found in extracted archives.
cifar100_dora_seed43_alpha_eval_no_ckpt_20260627_161631.tar.gz,DoRA CIFAR-100 clean alpha eval seed43.,CIFAR-10; CIFAR-100,DORA,43,No,Yes,No,No,No model weight files found in extracted archives.
cifar100_dora_seed44_alpha_eval_no_ckpt_20260627_182341.tar.gz,DoRA CIFAR-100 clean alpha eval seed44.,CIFAR-10; CIFAR-100,DORA,44,No,Yes,No,No,No model weight files found in extracted archives.
dora_cifar100c_full19_s3_seed42_no_ckpt_20260627_195802.tar.gz,DoRA CIFAR-100-C full19 severity=3 seed42 raw package.,CIFAR-10; CIFAR-100; CIFAR-100-C,DORA,42,No,No,Supplement,No,No model weight files found in extracted archives.
dora_cifar100c_subset_s1_s3_s5_3seed_no_ckpt_20260627_191452.tar.gz,"DoRA CIFAR-100-C subset, 3 seeds x 4 corruptions x 3 severities.",CIFAR-10; CIFAR-100; CIFAR-100-C,DORA,not specified / mixed,No,Yes,No,No,No model weight files found in extracted archives.
fr_peft_cifar100_seed42_43_44_no_ckpt_from_initial_upload.tar.gz,CIFAR-100 LoRA three-seed no-checkpoint package from the initial upload batch.,CIFAR-10; CIFAR-100,LORA,42,No,Yes,No,No,No model weight files found in extracted archives.
fr_peft_cifar100_seed42_43_44_no_ckpt_from_later_upload.tar.gz,CIFAR-100 LoRA three-seed no-checkpoint package from the later upload batch.,CIFAR-10; CIFAR-100,LORA,42,No,Yes,No,No,No model weight files found in extracted archives.
fr_peft_cifar100_seed42_controls_no_ckpt.tar.gz,CIFAR-100 seed42 control experiments.,CIFAR-10; CIFAR-100,mixed / narrative,42,No,No,Supplement,No,No model weight files found in extracted archives.
stage4_summary_tiny_imagenet100.xlsx,Stage 4 summary workbook for Tiny-ImageNet / ImageNet-100.,ImageNet-100; Tiny-ImageNet,mixed / narrative,not specified / mixed,No,No,Pilot,No,No model weight files found in extracted archives.
stage4_tiny_imagenet100_results_collection_20260628_160740.tar.gz,Stage 4 Tiny-ImageNet / ImageNet-100 result collection.,ImageNet-100; Tiny-ImageNet,mixed / narrative,not specified / mixed,No,Yes,Pilot,No,No model weight files found in extracted archives.
cifar100_lora_dora_clean_three_seed_tables_xlsx,Declared in ADI_final_table_sources source_package_manifest.tsv,unknown,DoRA,mixed,No,No by itself,Needs replacement raw package,MISSING,This MISSING marker was supplemented if a matching uploaded raw package exists; otherwise kept in Missing_Sources.
cifar100_dora_three_seed_no_ckpt_pack,Declared in ADI_final_table_sources source_package_manifest.tsv,unknown,DoRA,mixed,No,No by itself,Needs replacement raw package,MISSING,This MISSING marker was supplemented if a matching uploaded raw package exists; otherwise kept in Missing_Sources.
dora_cifar100c_subset_3seed,Declared in ADI_final_table_sources source_package_manifest.tsv,CIFAR-100-C,DoRA,mixed,No,No by itself,Needs replacement raw package,MISSING,This MISSING marker was supplemented if a matching uploaded raw package exists; otherwise kept in Missing_Sources.
dora_cifar100c_full19_s3_seed42,Declared in ADI_final_table_sources source_package_manifest.tsv,CIFAR-100-C,DoRA,mixed,No,No by itself,Needs replacement raw package,MISSING,This MISSING marker was supplemented if a matching uploaded raw package exists; otherwise kept in Missing_Sources.
lora_cifar100c_full19_s3_seed42,Declared in ADI_final_table_sources source_package_manifest.tsv,CIFAR-100-C,LoRA,mixed,No,No by itself,Needs replacement raw package,MISSING,This MISSING marker was supplemented if a matching uploaded raw package exists; otherwise kept in Missing_Sources.
lora_cifar100c_subset_or_pack,Declared in ADI_final_table_sources source_package_manifest.tsv,CIFAR-100-C,LoRA,mixed,No,No by itself,Needs replacement raw package,MISSING,This MISSING marker was supplemented if a matching uploaded raw package exists; otherwise kept in Missing_Sources.
stage4_tiny_imagenet100_collection,Declared in ADI_final_table_sources source_package_manifest.tsv,unknown,unknown,mixed,No,No by itself,Needs replacement raw package,MISSING,This MISSING marker was supplemented if a matching uploaded raw package exists; otherwise kept in Missing_Sources.
tiny_lora_seed42_fixedlabel,Declared in ADI_final_table_sources source_package_manifest.tsv,unknown,LoRA,mixed,No,No by itself,Needs replacement raw package,MISSING,This MISSING marker was supplemented if a matching uploaded raw package exists; otherwise kept in Missing_Sources.
tiny_imagenet_dora_seed42,Declared in ADI_final_table_sources source_package_manifest.tsv,unknown,DoRA,mixed,No,No by itself,Needs replacement raw package,MISSING,This MISSING marker was supplemented if a matching uploaded raw package exists; otherwise kept in Missing_Sources.
tiny_imagenet_lora_seed43_recover,Declared in ADI_final_table_sources source_package_manifest.tsv,unknown,LoRA,mixed,No,No by itself,Needs replacement raw package,MISSING,This MISSING marker was supplemented if a matching uploaded raw package exists; otherwise kept in Missing_Sources.
tiny_imagenet_lora_seed44_recover,Declared in ADI_final_table_sources source_package_manifest.tsv,unknown,LoRA,mixed,No,No by itself,Needs replacement raw package,MISSING,This MISSING marker was supplemented if a matching uploaded raw package exists; otherwise kept in Missing_Sources.
imagenet100_lora_seed42_recover,Declared in ADI_final_table_sources source_package_manifest.tsv,unknown,LoRA,mixed,No,No by itself,Needs replacement raw package,MISSING,This MISSING marker was supplemented if a matching uploaded raw package exists; otherwise kept in Missing_Sources.
imagenet100_dora_seed42,Declared in ADI_final_table_sources source_package_manifest.tsv,unknown,DoRA,mixed,No,No by itself,Needs replacement raw package,MISSING,This MISSING marker was supplemented if a matching uploaded raw package exists; otherwise kept in Missing_Sources.
